Participant ID,TASK 1 ms
P040301,2047000
P040302,1050000
P050302,#VALUE!
P050303,#VALUE!
P050304,#VALUE!
P060301,2980000
P070301,1333000
P100301,1390000
P100302,1230000
P110301,1039000
P120301,#VALUE!
P120302,663000
P130301,1735000
P130302,960000
P140302,#VALUE!
P190301,2090000
P200301,1713000
P200302,930000
P210201,#VALUE!
P210301,1808000
P210302,#VALUE!
P160601,1659000
P160602,724000
P160603,1417000
P160604,1654000
P160605,1083000
P170601,1438000
P170602,1690000
P170603,1128000
P240601,960000
P240602,1870000
P240603,2644000
P240604,2500000
